zip_code,land_use,count,date,permit_type
77028,Single Family Residential (Public Street),1,1/3/2019,Residential
77493,Unrestricted,1,1/3/2019,Unrestricted
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,1/3/2019,Residential
77066,Single Family Residential (Public Street),1,1/3/2019,Residential
77008,Single Family Residential (Public Street),1,1/3/2019,Residential
77449,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/3/2019,Residential
77088,Single Family Residential (Public Street),1,1/3/2019,Residential
77044,Unrestricted,1,1/3/2019,Unrestricted
77386,Single Family Residential (Public Street),1,1/3/2019,Residential
77008,Unrestricted,1,1/3/2019,Unrestricted
77027,Unrestricted Intended for Multifamily,1,1/3/2019,Unrestricted
77447,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019,Residential
77095,Unrestricted; Drainage or Detention,1,1/3/2019,Unrestricted
77003,Single Family Residential (Shared Driveways),1,1/3/2019,Residential
77449,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77041,Single Family Residential (Public Street),1,2/28/2019,Residential
77039,Single Family Residential (Public Street),1,2/28/2019,Residential
77089,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77493,General Plan,1,2/28/2019,Other
77493,Drainage or Detention; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,2/28/2019,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77093,Commercial,1,2/28/2019,Commercial
77084,Unrestricted,1,2/28/2019,Unrestricted
77022,Single Family Residential (PAE 1/PAE 2),1,2/28/2019,Residential
77009,Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77433,Street Dedication,1,2/28/2019,Other
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77018,Unrestricted,1,2/28/2019,Unrestricted
77047,General Plan,1,2/28/2019,Other
77041,"Water Treatment, Production or Repressurization; Other",1,2/28/2019,Other
77041,Other,1,2/28/2019,Other
77019,Unrestricted,1,2/28/2019,Unrestricted
77429,Unrestricted; Drainage or Detention,1,2/28/2019,Unrestricted
77433,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,2/28/2019,Residential
77006,Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77003,Unrestricted,1,2/28/2019,Unrestricted
77339,Recreation,1,2/28/2019,Other
77493,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77429,Single Family Residential (Public Street),1,2/28/2019,Residential
77365,Unrestricted,1,2/28/2019,Unrestricted
77020,Unrestricted,1,2/28/2019,Unrestricted
77088,Single Family Residential (Public Street),1,2/28/2019,Residential
77018,Single Family Residential (Public Street),1,2/28/2019,Residential
77049,Unrestricted,1,2/28/2019,Unrestricted
77055,Commercial,1,2/28/2019,Commercial
77084,Unrestricted,1,2/28/2019,Unrestricted
77389,Unrestricted,1,2/28/2019,Unrestricted
77493,Unrestricted,1,2/28/2019,Unrestricted
77003,Unrestricted,1,2/28/2019,Unrestricted
77406,Unrestricted,1,2/28/2019,Unrestricted
77532,Unrestricted,1,2/28/2019,Unrestricted
77004,Single Family Residential (Public Street),1,2/28/2019,Residential
77429,Unrestricted,1,2/28/2019,Unrestricted
77075,Single Family Residential (Public Street),1,2/28/2019,Residential
77493,"Church, School and Institutional",1,2/28/2019,Other
77493,General Plan,1,2/28/2019,Other
77021,Single Family Residential (Public Street),1,2/28/2019,Residential
77066,General Plan,1,2/28/2019,Other
77066,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77407,"Water Treatment, Production or Repressurization",1,2/28/2019,Other
77407,Drainage or Detention,1,2/28/2019,Other
77407,General Plan,1,2/28/2019,Other
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77044,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77375,Unrestricted,1,2/28/2019,Unrestricted
77004,Single Family Residential (Public Street),1,2/28/2019,Residential
77091,Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77093,Unrestricted,1,2/28/2019,Unrestricted
77091,Single Family Residential (Public Street),1,2/28/2019,Residential
77020,Single Family Residential (Public Street),1,2/28/2019,Residential
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77346,Commercial,1,2/28/2019,Commercial
77346,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77003,Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77048,Unrestricted; Single Family Residential (Public Street),1,2/28/2019,Residential
77532,Landscape or Open Space; Single Family Residential (Public Street); Street Dedication,1,2/28/2019,Residential
77354,General Plan,1,2/28/2019,Other
77354,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77007,Single Family Residential (Public Street),1,2/28/2019,Residential
77059,Unrestricted,1,2/28/2019,Unrestricted
77048,Single Family Residential (Public Street),1,2/28/2019,Residential
77048,Commercial,1,2/28/2019,Commercial
77008,Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77373,General Plan,1,2/28/2019,Other
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,2/28/2019,Residential
77056,Single Family Residential (Public Street),1,2/28/2019,Residential
77038,Unrestricted,1,2/28/2019,Unrestricted
77386,Unrestricted,1,2/28/2019,Unrestricted
77077,Street Dedication,1,2/28/2019,Other
77365,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77365,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77365,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77093,Unrestricted,1,2/28/2019,Unrestricted
77007,Single Family Residential (Public Street),1,2/28/2019,Residential
77014,General Plan,1,2/28/2019,Other
77014,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77021,Unrestricted,1,2/28/2019,Unrestricted
77373,Unrestricted,1,2/28/2019,Unrestricted
77389,Unrestricted,1,2/28/2019,Unrestricted
77389,Unrestricted,1,2/28/2019,Unrestricted
77389,Street Dedication,1,2/28/2019,Other
77373,Single Family Residential (PAE 1/PAE 2),1,2/28/2019,Residential
77070,Unrestricted,1,2/28/2019,Unrestricted
77007,Single Family Residential (Public Street),1,2/28/2019,Residential
77008,Unrestricted,1,2/28/2019,Unrestricted
77008,Single Family Residential (Public Street),1,2/28/2019,Residential
77346,Street Dedication,1,2/28/2019,Other
77433,Unrestricted,1,2/28/2019,Unrestricted
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77493,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,2/28/2019,Residential
77007,Single Family Residential (Public Street),1,2/28/2019,Residential
77449,Landscape or Open Space; Single Family Residential (Public Street),1,2/28/2019,Residential
77336,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Recreation; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,2/28/2019,Residential
77379,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,2/28/2019,Residential
77449,Unrestricted,1,2/28/2019,Unrestricted
77023,Commercial,1,2/28/2019,Commercial
77498,Commercial,1,2/28/2019,Commercial
77056,Unrestricted,1,2/28/2019,Unrestricted
77336,Single Family Residential (Public Street),1,2/28/2019,Residential
77057,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77057,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/28/2019,Residential
77494,Recreation; Single Family Residential (Public Street),1,2/28/2019,Residential
77096,Single Family Residential (Public Street),1,2/28/2019,Residential
77365,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,2/28/2019,Residential
77449,Landscape or Open Space,1,2/14/2019,Other
77039,Single Family Residential (Public Street),1,2/14/2019,Residential
77493,General Plan,1,2/14/2019,Other
77078,Commercial; Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77093,Commercial,1,2/14/2019,Commercial
77338,Unrestricted,1,2/14/2019,Unrestricted
77003,Single Family Residential (Shared Driveways),1,2/14/2019,Residential
77022,Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77025,General Plan,1,2/14/2019,Other
77433,Unrestricted; Street Dedication,1,2/14/2019,Unrestricted
77365,Single Family Residential (Public Street),1,2/14/2019,Residential
77379,Unrestricted,1,2/14/2019,Unrestricted
77004,Unrestricted,1,2/14/2019,Unrestricted
77009,Single Family Residential (Public Street),1,2/14/2019,Residential
77379,Unrestricted,1,2/14/2019,Unrestricted
77379,Unrestricted; Compensating Open Space; Drainage or Detention; Lift Station; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77047,General Plan,1,2/14/2019,Other
77019,Unrestricted,1,2/14/2019,Unrestricted
77055,Unrestricted,1,2/14/2019,Unrestricted
77429,Unrestricted; Drainage or Detention,1,2/14/2019,Unrestricted
77447,Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77030,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/14/2019,Residential
77006,Single Family Residential (Shared Driveways),1,2/14/2019,Residential
77003,Unrestricted,1,2/14/2019,Unrestricted
77003,Unrestricted,1,2/14/2019,Unrestricted
77388,Unrestricted,1,2/14/2019,Unrestricted
77429,Single Family Residential (Public Street),1,2/14/2019,Residential
77386,Unrestricted,1,2/14/2019,Unrestricted
77088,Single Family Residential (Public Street),1,2/14/2019,Residential
77075,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77038,Drainage or Detention,1,2/14/2019,Other
77034,Single Family Residential (Public Street),1,2/14/2019,Residential
77011,Single Family Residential (Public Street),1,2/14/2019,Residential
77018,Unrestricted Intended for Multifamily,1,2/14/2019,Unrestricted
77447,Unrestricted,1,2/14/2019,Unrestricted
77032,Commercial,1,2/14/2019,Commercial
77084,Unrestricted Intended for Multifamily,1,2/14/2019,Unrestricted
77406,"Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,2/14/2019,Residential
77006,Single Family Residential (Shared Driveways); Other,1,2/14/2019,Residential
77006,Unrestricted,1,2/14/2019,Unrestricted
77041,Single Family Residential (Public Street),1,2/14/2019,Residential
77494,Commercial; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77493,General Plan,1,2/14/2019,Other
77023,Single Family Residential (Public Street),1,2/14/2019,Residential
77045,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77407,Drainage or Detention,1,2/14/2019,Other
77045,Unrestricted,1,2/14/2019,Unrestricted
77433,Unrestricted,1,2/14/2019,Unrestricted
77091,Single Family Residential (Shared Driveways),1,2/14/2019,Residential
77091,Single Family Residential (Public Street),1,2/14/2019,Residential
77022,Single Family Residential (Public Street),1,2/14/2019,Residential
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77346,Commercial,1,2/14/2019,Commercial
77009,Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77532,Single Family Residential (Public Street),1,2/14/2019,Residential
77011,Single Family Residential (Public Street),1,2/14/2019,Residential
77373,General Plan,1,2/14/2019,Other
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,2/14/2019,Residential
77080,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77377,Single Family Residential (Public Street),1,2/14/2019,Residential
77493,Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77447,Commercial,1,2/14/2019,Commercial
77008,Unrestricted,1,2/14/2019,Unrestricted
77091,Single Family Residential (Shared Driveways),1,2/14/2019,Residential
77009,Single Family Residential (Public Street),1,2/14/2019,Residential
77532,General Plan,1,2/14/2019,Other
77532,Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77493,Unrestricted,1,2/14/2019,Unrestricted
77051,Landscape or Open Space; Single Family Residential (Shared Driveways),1,2/14/2019,Residential
77020,Unrestricted,1,2/14/2019,Unrestricted
77064,Unrestricted,1,2/14/2019,Unrestricted
77064,Unrestricted,1,2/14/2019,Unrestricted
77044,"Church, School and Institutional",1,2/14/2019,Other
77055,Unrestricted,1,2/14/2019,Unrestricted
77070,Commercial,1,2/14/2019,Commercial
77014,General Plan,1,2/14/2019,Other
77014,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77021,Unrestricted,1,2/14/2019,Unrestricted
77373,Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77070,Unrestricted,1,2/14/2019,Unrestricted
77338,Unrestricted,1,2/14/2019,Unrestricted
77008,Unrestricted,1,2/14/2019,Unrestricted
77019,Single Family Residential (Public Street),1,2/14/2019,Residential
77009,Residential Guest Parking; Single Family Residential (Shared Driveways); Other,1,2/14/2019,Residential
77493,Commercial,1,2/14/2019,Commercial
77377,General Plan,1,2/14/2019,Other
77377,"Unrestricted; Church, School and Institutional",1,2/14/2019,Unrestricted
77049,Unrestricted,1,2/14/2019,Unrestricted
77433,Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77493,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,2/14/2019,Residential
77379,"Church, School and Institutional",1,2/14/2019,Other
77007,Single Family Residential (Public Street),1,2/14/2019,Residential
77098,Unrestricted Intended for Multifamily,1,2/14/2019,Unrestricted
77396,Unrestricted,1,2/14/2019,Unrestricted
77057,Unrestricted,1,2/14/2019,Unrestricted
77449,General Plan,1,2/14/2019,Other
77007,Unrestricted,1,2/14/2019,Unrestricted
77002,Single Family Residential (Public Street),1,2/14/2019,Residential
77022,Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019,Residential
77377,Commercial,1,2/14/2019,Commercial
77042,Unrestricted,1,2/14/2019,Unrestricted
77447,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019,Residential
77389,Unrestricted,1,2/14/2019,Unrestricted
77407,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77044,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77002,Unrestricted,1,12/19/2019,Unrestricted
77433,Compensating Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77377,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77377,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,12/19/2019,Residential
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77091,Unrestricted,1,12/19/2019,Unrestricted
77091,Unrestricted; Drainage or Detention; Single Family Residential (Public Street),1,12/19/2019,Residential
77085,General Plan,1,12/19/2019,Other
77085,Unrestricted,1,12/19/2019,Unrestricted
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77020,Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77047,Compensating Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77027,Unrestricted,1,12/19/2019,Unrestricted
77433,Single Family Residential (Public Street),1,12/19/2019,Residential
77433,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77433,Single Family Residential (Public Street),1,12/19/2019,Residential
77003,Unrestricted,1,12/19/2019,Unrestricted
77365,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street); Other,1,12/19/2019,Residential
77007,Single Family Residential (Public Street),1,12/19/2019,Residential
77049,Commercial,1,12/19/2019,Commercial
77494,Unrestricted,1,12/19/2019,Unrestricted
77069,Unrestricted,1,12/19/2019,Unrestricted
77085,Other,1,12/19/2019,Other
77020,Single Family Residential (Public Street),1,12/19/2019,Residential
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77049,Unrestricted,1,12/19/2019,Unrestricted
77377,Street Dedication,1,12/19/2019,Other
77433,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77016,Compensating Open Space; Other,1,12/19/2019,Other
77087,Unrestricted,1,12/19/2019,Unrestricted
77006,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77090,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77357,"Church, School and Institutional",1,12/19/2019,Other
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77006,Unrestricted,1,12/19/2019,Unrestricted
77045,Unrestricted,1,12/19/2019,Unrestricted
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77050,Unrestricted; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77037,Commercial,1,12/19/2019,Commercial
77021,Unrestricted,1,12/19/2019,Unrestricted
77075,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77021,Single Family Residential (Public Street),1,12/19/2019,Residential
77449,Unrestricted,1,12/19/2019,Unrestricted
77009,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77093,Unrestricted,1,12/19/2019,Unrestricted
77044,Unrestricted,1,12/19/2019,Unrestricted
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77346,General Plan,1,12/19/2019,Other
77406,Unrestricted,1,12/19/2019,Unrestricted
77449,Unrestricted,1,12/19/2019,Unrestricted
77048,Other,1,12/19/2019,Other
77087,Unrestricted; Single Family Residential (Public Street),1,12/19/2019,Residential
77389,"Drainage or Detention; Landscape or Open Space; Lift Station; Recreation; Water Treatment, Production or Repressurization",1,12/19/2019,Other
77008,Commercial,1,12/19/2019,Commercial
77012,Commercial,1,12/19/2019,Commercial
77494,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Commercial,1,12/19/2019,Commercial
77493,General Plan,1,12/19/2019,Other
77075,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77375,"Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,12/19/2019,Residential
77375,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77375,Single Family Residential (Public Street),1,12/19/2019,Residential
77449,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77449,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Commercial,1,12/19/2019,Commercial
77026,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77377,Single Family Residential (Public Street),1,12/19/2019,Residential
77004,Commercial,1,12/19/2019,Commercial
77022,Single Family Residential (Public Street),1,12/19/2019,Residential
77433,General Plan,1,12/19/2019,Other
77020,Unrestricted,1,12/19/2019,Unrestricted
77087,General Plan,1,12/19/2019,Other
77021,Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77020,Single Family Residential (Public Street),1,12/19/2019,Residential
77049,Unrestricted,1,12/19/2019,Unrestricted
77338,General Plan,1,12/19/2019,Other
77018,Single Family Residential (Public Street),1,12/19/2019,Residential
77004,Single Family Residential (Public Street),1,12/19/2019,Residential
77048,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,12/19/2019,Residential
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77055,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77494,Unrestricted,1,12/19/2019,Unrestricted
77365,Unrestricted,1,12/19/2019,Unrestricted
77365,Unrestricted,1,12/19/2019,Unrestricted
77085,Single Family Residential (Public Street),1,12/19/2019,Residential
77447,Unrestricted; Drainage or Detention,1,12/19/2019,Unrestricted
77447,Commercial; Drainage or Detention,1,12/19/2019,Commercial
77447,Drainage or Detention,1,12/19/2019,Other
77447,Drainage or Detention,1,12/19/2019,Other
77447,Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77545,Unrestricted,1,12/19/2019,Unrestricted
77053,Unrestricted,1,12/19/2019,Unrestricted
77021,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77021,Unrestricted,1,12/19/2019,Unrestricted
77099,Unrestricted,1,12/19/2019,Unrestricted
77009,Single Family Residential (Public Street),1,12/19/2019,Residential
77091,Single Family Residential (Public Street),1,12/19/2019,Residential
77051,Single Family Residential (Public Street),1,12/19/2019,Residential
77043,Drainage or Detention; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77429,Unrestricted,1,12/19/2019,Unrestricted
77017,Unrestricted,1,12/19/2019,Unrestricted
77005,Single Family Residential (Public Street),1,12/19/2019,Residential
77030,Unrestricted,1,12/19/2019,Unrestricted
77389,Unrestricted,1,12/19/2019,Unrestricted
77076,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/19/2019,Residential
77336,Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Single Family Residential (Public Street),1,12/19/2019,Residential
77379,Unrestricted,1,12/19/2019,Unrestricted
77339,Unrestricted,1,12/19/2019,Unrestricted
77048,Unrestricted,1,12/19/2019,Unrestricted
77493,Single Family Residential (Public Street),1,12/19/2019,Residential
77375,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77449,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/19/2019,Residential
77447,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77447,Landscape or Open Space; Single Family Residential (Public Street),1,12/19/2019,Residential
77007,Single Family Residential (Public Street),1,12/19/2019,Residential
77433,Landscape or Open Space; Street Dedication,1,12/19/2019,Other
77433,Street Dedication,1,12/19/2019,Other
77493,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,12/19/2019,Residential
77493,Single Family Residential (Public Street),1,12/19/2019,Residential
77043,Unrestricted Intended for Multifamily,1,12/19/2019,Unrestricted
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77493,Unrestricted Intended for Multifamily,1,8/22/2019,Unrestricted
77004,Unrestricted Intended for Multifamily,1,8/22/2019,Unrestricted
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019,Residential
77396,Drainage or Detention; Landscape or Open Space,1,8/22/2019,Other
77447,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/22/2019,Residential
77447,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77447,Unrestricted; Street Dedication,1,8/22/2019,Unrestricted
77493,Street Dedication,1,8/22/2019,Other
77447,"Water Treatment, Production or Repressurization",1,8/22/2019,Other
77396,General Plan,1,8/22/2019,Other
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77063,Unrestricted,1,8/22/2019,Unrestricted
77373,Lift Station,1,8/22/2019,Other
77433,Street Dedication,1,8/22/2019,Other
77433,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77056,Single Family Residential (Shared Driveways),1,8/22/2019,Residential
77365,Unrestricted; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station,1,8/22/2019,Unrestricted
77019,Unrestricted,1,8/22/2019,Unrestricted
77019,Commercial,1,8/22/2019,Commercial
77051,Unrestricted,1,8/22/2019,Unrestricted
77008,Single Family Residential (Public Street),1,8/22/2019,Residential
77022,Single Family Residential (Public Street),1,8/22/2019,Residential
77373,Unrestricted,1,8/22/2019,Unrestricted
77007,Commercial,1,8/22/2019,Commercial
77020,Single Family Residential (Public Street),1,8/22/2019,Residential
77545,Unrestricted,1,8/22/2019,Unrestricted
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/22/2019,Residential
77098,Unrestricted Intended for Multifamily,1,8/22/2019,Unrestricted
77051,Unrestricted,1,8/22/2019,Unrestricted
77406,Single Family Residential (Public Street),1,8/22/2019,Residential
77095,General Plan,1,8/22/2019,Other
77095,Unrestricted,1,8/22/2019,Unrestricted
77084,Commercial; Drainage or Detention; Street Dedication,1,8/22/2019,Commercial
77373,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,8/22/2019,Residential
77088,Single Family Residential (Public Street),1,8/22/2019,Residential
77007,Unrestricted,1,8/22/2019,Unrestricted
77059,Single Family Residential (PAE 1/PAE 2),1,8/22/2019,Residential
77447,Unrestricted,1,8/22/2019,Unrestricted
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019,Residential
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019,Residential
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77022,Single Family Residential (Public Street),1,8/22/2019,Residential
77002,Unrestricted,1,8/22/2019,Unrestricted
77034,Unrestricted,1,8/22/2019,Unrestricted
77379,Commercial,1,8/22/2019,Commercial
77044,Unrestricted,1,8/22/2019,Unrestricted
77007,Commercial,1,8/22/2019,Commercial
77407,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/22/2019,Residential
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77336,Drainage or Detention; Single Family Residential (Public Street),1,8/22/2019,Residential
77044,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019,Residential
77017,Unrestricted Intended for Multifamily,1,8/22/2019,Unrestricted
77373,Single Family Residential (Public Street),1,8/22/2019,Residential
77023,Unrestricted,1,8/22/2019,Unrestricted
77020,Single Family Residential (Public Street),1,8/22/2019,Residential
